globID,x,y,type,subtype,size[mm],layer1,layer2,layer3
000001,-28547,16611,1,2,60,0,,
000002,44,-9806,1,2,60,0,,
000003,12954,-10060,1,2,60,0,,
000004,-14091,2949,1,2,60,0,,
000005,12714,1658,1,2,60,0,,
000006,-8110,-29458,1,2,60,0,,
000007,-9170,14143,1,2,60,0,,
000008,-3489,-9898,1,2,60,0,,
000009,-28684,23185,1,2,60,0,,
000010,-22108,18964,1,2,60,0,,
000011,-4103,118600,1,2,60,0,,
000012,-28762,10620,1,2,60,0,,
000013,-27638,30465,1,2,60,0,,
000014,-15861,-28832,1,2,60,0,,
000015,-3511,-12031,1,2,60,0,,
000016,-9841,-29418,1,2,60,0,,
000017,-8772,-10140,1,2,60,0,,
000018,-11680,-29356,1,2,60,0,,
000019,-31026,-263,1,2,60,0,,
000020,-8929,-19991,1,2,60,0,,
000021,-20958,4909,1,2,60,0,,
000022,22636,-30373,1,2,60,0,,
000023,12654,63280,1,2,60,0,,
000024,33703,-20752,1,2,60,0,,
000025,-7820,-10499,1,2,60,0,,
000026,3484,-22334,1,2,60,0,,
000027,-1869,-29259,1,2,60,0,,
000028,-2369,-26163,1,2,60,0,,
000029,5226,-29478,1,2,60,0,,
000030,6053,-14585,1,2,60,0,,
000031,-28750,21094,1,2,60,0,,
000032,13709,-30145,1,2,60,0,,
000033,4425,934,1,2,60,0,,
000034,-813,10136,1,2,60,0,,
000035,12330,-29687,1,2,60,0,,
000036,21057,-30379,1,2,60,0,,
000037,4197,-9933,1,2,60,0,,
000038,-8030,-17255,1,2,60,0,,
000039,4142,-29850,1,2,60,0,,
000040,23848,73387,1,2,60,0,,
000041,26737,-11251,1,2,60,0,,
000042,-2493,29985,1,2,60,0,,
000043,-6296,30123,1,2,60,0,,
000044,-6313,40912,1,2,60,0,,
000045,-5650,54849,1,2,60,0,,
000046,-1830,54732,1,2,60,0,,
000047,-5391,71626,1,2,60,0,,
000048,1255,74572,1,2,60,0,,
000049,3402,86542,1,2,60,0,,
000050,-6222,65509,1,2,60,0,,
000051,-19898,75166,1,2,60,0,,
000052,-12860,74975,1,2,60,0,,
000053,-13009,65719,1,2,60,0,,
000054,-5828,74335,1,2,60,0,,
000055,19929,-23795,1,2,60,0,,
000056,23714,68481,1,2,60,0,,
000057,23482,74085,1,2,60,0,,
000058,12141,134238,1,2,60,0,,
000059,23729,81118,1,2,60,0,,
000060,-19762,22895,1,2,60,0,,
000061,24117,94087,1,2,60,0,,
000062,12331,86281,1,2,60,0,,
000063,-8383,79421,1,2,60,0,,
000064,-5241,94784,1,2,60,0,,
000065,1514,91463,1,2,60,0,,
000066,1489,93838,1,2,60,0,,
000067,19609,71080,1,2,60,0,,
000068,10768,71250,1,2,60,0,,
000069,16913,123251,1,2,60,0,,
000070,-5811,59100,1,2,60,0,,
000071,-8087,2017,1,2,60,0,,
000072,-7553,10029,1,2,60,0,,
000073,5743,1867,1,2,60,0,,
000074,-17424,4764,1,2,60,0,,
000075,-25240,-513,1,2,60,0,,
000076,-24655,23110,1,2,60,0,,
000077,-15855,22823,1,2,60,0,,
000078,-2369,-20923,1,2,60,0,,
000079,-11,29235,1,2,60,0,,
000080,-6510,35209,1,2,60,0,,
000081,-9189,-29282,1,2,60,0,,
000082,-44719,4276,1,2,60,0,,
000083,-37116,-8616,1,2,60,0,,
000084,-33315,-2276,1,2,60,0,,
000085,-33526,-8720,1,2,60,0,,
000086,414,136115,1,2,60,0,,
000087,-4494,114753,1,2,60,0,,
000088,-3700,134719,1,2,60,0,,
000089,51,111126,1,2,60,0,,
000090,2225,103221,1,2,60,0,,
000091,-3088,154618,1,2,60,0,,
000092,24554,107948,1,2,60,0,,
000093,-5021,95571,1,2,60,0,,
000094,-4589,123324,1,2,60,0,,
000095,21504,102649,1,2,60,0,,
000096,18533,102727,1,2,60,0,,
000097,6179,103126,1,2,60,0,,
000098,19665,114166,1,2,60,0,,
000099,16612,116153,1,2,60,0,,
000100,3335,134528,1,2,60,0,,
000101,-7534,102516,1,2,60,0,,
000102,2691,115314,1,2,60,0,,
000103,800,143745,1,2,60,0,,
000104,-6532,136948,1,2,60,0,,
000105,-15144,140349,1,2,60,0,,
000106,14768,103149,1,2,60,0,,
000107,-17937,140443,1,2,60,0,,
000108,-10220,154826,1,2,60,0,,
000109,-17327,155065,1,2,60,0,,
000110,13461,107517,1,2,60,0,,
000111,-21843,155810,1,2,60,0,,
000112,2774,114503,1,2,60,0,,
000113,-26,29242,1,2,60,0,,
000114,-30374,83005,1,2,60,0,,
000115,-19694,87545,1,2,60,0,,
000116,-19812,83688,1,2,60,0,,
000117,-20205,95420,1,2,60,0,,
000118,-6512,35207,1,2,60,0,,
000119,19008,99783,1,2,60,0,,
000120,4111,111155,1,2,60,0,,
000121,10565,82449,1,2,60,0,,
000122,-5490,65554,1,2,60,0,,
000123,-33399,83907,1,2,60,0,,
000124,-23188,82520,1,2,60,0,,
000125,-19536,93782,1,2,60,0,,
000126,-32057,90765,1,2,60,0,,
000127,-26621,94299,1,2,60,0,,
000128,-44746,-2222,1,2,60,0,,
000129,-35794,3859,1,2,60,0,,
000130,-31162,3727,1,2,60,0,,
000131,33277,-23929,1,2,60,0,,
000132,-3717,135498,1,2,60,0,,
000133,18245,87996,1,2,60,0,,
000134,18585,94039,1,2,60,0,,
000135,-12817,18901,1,2,60,0,,
000136,4817,113252,1,2,60,0,,
000137,15995,72270,1,2,60,0,,
000138,-320,71475,1,2,60,0,,
000139,23939,86535,1,2,60,0,,
000140,-10805,135770,1,2,60,0,,
000141,-19273,152578,1,2,60,0,,
000142,11027,-23467,1,2,60,0,,
000143,4672,-15768,1,2,60,0,,
000144,12100,-16664,1,2,60,0,,
000145,14137,1623,1,2,60,0,,
000146,34497,3301,1,2,60,0,,
000147,14950,-1904,1,2,60,0,,
000148,33882,-3969,1,2,60,0,,
000149,20836,9120,1,2,60,0,,
000150,26973,8368,1,2,60,0,,
000151,31350,-5671,1,2,60,0,,
000152,-33897,-24386,1,2,60,0,,
000153,-7511,-1233,1,2,60,0,,
000154,-748,60197,1,2,60,0,,
000155,-12657,87724,1,2,60,0,,
000156,-7943,94227,1,2,60,0,,
