vx,vy,vz,rmse_xy,rmse_threshold
0,0,0,0.014760832,0.05
0,0,0,0.010165436,0.05
0,0,0,0.012911421,0.05
0,0,0,0.015696462,0.05
0,0,0,0.008458208,0.05
0,0,0,0.019046383,0.05
0,0,0,0.015174965,0.05
0,0,0,0.015160356,0.05
0,0,0,0.010818182,0.05
0,0,0,0.008854278,0.05
0,0,0,0.010886579,0.05
0,0,0,0.012996313,0.05
0,0,0,0.011037213,0.05
0,0,0,0.008549962,0.05
0,0,0,0.016382512,0.05
0,0,0,0.00824722,0.05
0,0,0,0.014901803,0.05
0,0,0,0.016456846,0.05
0,0,0,0.015232448,0.05
0,0,0,0.013027768,0.05
0,0,0,0.013999364,0.05
0,0,0,0.012374001,0.05
0,0,0,0.010724308,0.05
0,0,0,0.010459999,0.05
0,0,0,0.011213549,0.05
0,0,0,0.010316142,0.05
0,0,0,0.016243746,0.05
0,0,0,0.00969029,0.05
0,0,0,0.016030038,0.05
0,0,0,0.014349177,0.05
0,0,0,0.012071678,0.05
0,0,0,0.00821271,0.05
0,0,0,0.012431501,0.05
0,0,0,0.01622976,0.05
0,0,0,0.008664404,0.05
0,0,0,0.014930222,0.05
0,0,0,0.014551008,0.05
0,0,0,0.012707198,0.05
0,0,0,0.014633287,0.05
0,0,0,0.018406591,0.05
0,0,0,0.00988784,0.05
0,0,0,0.009883178,0.05
0,0,0,0.009632111,0.05
0,0,0,0.013877398,0.05
0,0,0,0.012174749,0.05
0,0,0,0.011536607,0.05
0,0,0,0.008948298,0.05
0,0,0,0.016363448,0.05
0,0,0,0.016037838,0.05
0,0,0,0.014830381,0.05
0,0,0,0.014322682,0.05
0,0,0,0.01478103,0.05
0,0,0,0.011498554,0.05
0,0,0,0.013660613,0.05
0,0,0,0.0078804,0.05
0,0,0,0.012904451,0.05
0,0,0,0.015020522,0.05
0,0,0,0.016056727,0.05
0,0,0,0.0115169,0.05
0,0,0,0.014645927,0.05
0,0,0,0.011579635,0.05
0,0,0,0.01170469,0.05
0,0,0,0.014264885,0.05
0,0,0,0.013379276,0.05
0,0,0,0.011091192,0.05
0,0,0,0.017554779,0.05
0,0,0,0.014147861,0.05
0,0,0,0.010253488,0.05
0,0,0,0.010321227,0.05
0,0,0,0.014158595,0.05
0,0,0,0.015826941,0.05
0,0,0,0.012768465,0.05
0,0,0,0.007184246,0.05
0,0,0,0.016727986,0.05
0,0,0,0.009312566,0.05
0,0,0,0.013976732,0.05
0,0,0,0.014087345,0.05
0,0,0,0.014567853,0.05
0,0,0,0.011461497,0.05
0,0,0,0.007461024,0.05
0,0,0,0.017543982,0.05
0,0,0,0.009840633,0.05
0,0,0,0.011314522,0.05
0,0,0,0.009137429,0.05
0,0,0,0.016082734,0.05
0,0,0,0.015885842,0.05
0,0,0,0.015692279,0.05
0,0,0,0.011266389,0.05
0,0,0,0.0150264,0.05
0,0,0,0.011913463,0.05
0,0,0,0.013144747,0.05
0,0,0,0.010483746,0.05
0,0,0,0.011191819,0.05
0,0,0,0.016106477,0.05
0,0,0,0.015234445,0.05
0,0,0,0.01097206,0.05
0,0,0,0.014576756,0.05
0,0,0,0.007669609,0.05
0,0,0,0.010038999,0.05
0,0,0,0.008314827,0.05
0,0,0,0.016587025,0.05
0,0,0,0.009214834,0.05
0,0,0,0.015631177,0.05
0,0,0,0.007827997,0.05
0,0,0,0.011085804,0.05
0,0,0,0.013969608,0.05
0,0,0,0.014225839,0.05
0,0,0,0.014024881,0.05
0,0,0,0.010751862,0.05
0,0,0,0.015815718,0.05
0,0,0,0.013242325,0.05
0,0,0,0.012270259,0.05
0,0,0,0.008499791,0.05
0,0,0,0.012758896,0.05
0,0,0,0.01211808,0.05
0,0,0,0.009315024,0.05
0,0,0,0.012035504,0.05
0,0,0,0.013217598,0.05
0,0,0,0.013795454,0.05
0,0,0,0.010787007,0.05
0,0,0,0.009410029,0.05
0,0,0,0.013173774,0.05
0,0,0,0.014737692,0.05
0,0,0,0.014293833,0.05
0,0,0,0.011609879,0.05
0,0,0,0.016435928,0.05
0,0,0,0.010204569,0.05
0,0,0,0.010702469,0.05
0,0,0,0.009775999,0.05
0,0,0,0.014765055,0.05
0,0,0,0.014791062,0.05
0,0,0,0.014930291,0.05
0,0,0,0.01354238,0.05
0,0,0,0.014141117,0.05
0,0,0,0.010461559,0.05
0,0,0,0.013408336,0.05
0,0,0,0.012593244,0.05
0,0,0,0.00996475,0.05
0,0,0,0.015279483,0.05
0,0,0,0.012440515,0.05
0,0,0,0.013477483,0.05
0,0,0,0.014359172,0.05
0,0,0,0.012353245,0.05
0,0,0,0.013515818,0.05
0,0,0,0.013779026,0.05
0,0,0,0.01225393,0.05
0,0,0,0.009223318,0.05
0,0,0,0.015942708,0.05
0,0,0,0.01671264,0.05
0,0,0,0.009906014,0.05
0,0,0,0.018963966,0.05
0,0,0,0.012601908,0.05
0,0,0,0.011292779,0.05
0,0,0,0.008194393,0.05
0,0,0,0.011116887,0.05
0,0,0,0.01258112,0.05
0,0,0,0.008002073,0.05
0,0,0,0.012309086,0.05
0,0,0,0.012483399,0.05
0,0,0,0.011124926,0.05
0,0,0,0.01604433,0.05
0,0,0,0.012833508,0.05
0,0,0,0.016039087,0.05
0,0,0,0.015063891,0.05
0,0,0,0.017040486,0.05
0,0,0,0.012168671,0.05
0,0,0,0.00954791,0.05
0,0,0,0.010892202,0.05
0,0,0,0.008782774,0.05
0,0,0,0.00863747,0.05
0,0,0,0.011455339,0.05
0,0,0,0.019622823,0.05
0,0,0,0.011711049,0.05
0,0,0,0.010496314,0.05
0,0,0,0.009333587,0.05
0,0,0,0.006774341,0.05
0,0,0,0.010480018,0.05
0,0,0,0.009509262,0.05
0,0,0,0.01651066,0.05
0,0,0,0.013175581,0.05
0,0,0,0.013675867,0.05
0,0,0,0.009911738,0.05
0,0,0,0.015029914,0.05
0,0,0,0.008911143,0.05
0,0,0,0.012891249,0.05
0,0,0,0.009772102,0.05
0,0,0,0.011878478,0.05
0,0,0,0.010328113,0.05
0,0,0,0.015194718,0.05
0,0,0,0.008300863,0.05
0,0,0,0.015606868,0.05
0,0,0,0.013958543,0.05
0,0,0,0.011314266,0.05
0,0,0,0.009040843,0.05
0,0,0,0.009416547,0.05
0,0,0,0.01435184,0.05
0,0,0,0.012443052,0.05
0,0,0,0.014011778,0.05
0,0,0,0.017893744,0.05
0,0,0,0.014387835,0.05
0,0,0,0.013767861,0.05
0,0,0,0.008761115,0.05
0,0,0,0.014513116,0.05
0,0,0,0.016400967,0.05
0,0,0,0.01760023,0.05
0,0,0,0.010469325,0.05
0,0,0,0.00923845,0.05
0,0,0,0.013482815,0.05
0,0,0,0.010532624,0.05
0,0,0,0.016119886,0.05
0,0,0,0.014705464,0.05
0,0,0,0.013044412,0.05
0,0,0,0.01284614,0.05
0,0,0,0.015411425,0.05
0,0,0,0.015822289,0.05
0,0,0,0.014127867,0.05
0,0,0,0.016727269,0.05
0,0,0,0.014427357,0.05
0,0,0,0.018203479,0.05
0,0,0,0.010240727,0.05
0,0,0,0.0069448,0.05
0,0,0,0.011467535,0.05
0,0,0,0.015035968,0.05
0,0,0,0.012465985,0.05
0,0,0,0.018058822,0.05
0,0,0,0.013695047,0.05
0,0,0,0.012904349,0.05
0,0,0,0.012916494,0.05
0,0,0,0.015026233,0.05
0,0,0,0.015174541,0.05
0,0,0,0.01457549,0.05
0,0,0,0.018197803,0.05
0,0,0,0.015078765,0.05
0,0,0,0.012736078,0.05
0,0,0,0.013189366,0.05
0,0,0,0.013328544,0.05
0,0,0,0.014602495,0.05
0,0,0,0.009345076,0.05
0,0,0,0.009220542,0.05
0,0,0,0.010788273,0.05
0,0,0,0.009816911,0.05
0,0,0,0.011861934,0.05
0,0,0,0.01309254,0.05
0,0,0,0.011583346,0.05
0,0,0,0.010745644,0.05
0,0,0,0.012668298,0.05
0,0,0,0.016501256,0.05
0,0,0,0.012573654,0.05
0,0,0,0.013389919,0.05
0,0,0,0.009665243,0.05
0,0,0,0.014500535,0.05
0,0,0,0.013880733,0.05
0,0,0,0.014346702,0.05
0,0,0,0.015273055,0.05
0,0,0,0.006833851,0.05
0,0,0,0.010011522,0.05
0,0,0,0.013377361,0.05
0,0,0,0.01037466,0.05
0,0,0,0.011866279,0.05
0,0,0,0.013280636,0.05
0,0,0,0.017116482,0.05
0,0,0,0.012967947,0.05
0,0,0,0.012457377,0.05
0,0,0,0.010226245,0.05
0,0,0,0.012632742,0.05
0,0,0,0.012355619,0.05
0,0,0,0.007853656,0.05
0,0,0,0.014570724,0.05
0,0,0,0.008713173,0.05
0,0,0,0.012936499,0.05
0,0,0,0.014486234,0.05
0,0,0,0.01400529,0.05
0,0,0,0.012620553,0.05
0,0,0,0.006739311,0.05
0,0,0,0.012572907,0.05
0,0,0,0.013337683,0.05
0,0,0,0.011296543,0.05
0,0,0,0.013206179,0.05
0,0,0,0.012395622,0.05
0,0,0,0.015338468,0.05
0,0,0,0.013419566,0.05
0,0,0,0.0134253,0.05
0,0,0,0.015751674,0.05
0,0,0,0.016138343,0.05
0,0,0,0.011531769,0.05
